Type,Function,Digit,Time(ms)
u32toa_sequential,vc,8,13.472741
u32toa_sequential,vc,9,14.980355
u32toa_sequential,vc,10,16.584900
u32toa_random,vc,0,112.554189
i32toa_sequential,null,1,0.249417
i32toa_sequential,null,2,0.249417
i32toa_sequential,null,3,0.249417
i32toa_sequential,null,4,0.249417
i32toa_sequential,null,5,0.249417
i32toa_sequential,null,6,0.249417
i32toa_sequential,null,7,0.249417
i32toa_sequential,null,8,0.249417
i32toa_sequential,null,9,0.249417
i32toa_sequential,null,10,0.249417
i32toa_random,null,0,2.143991
i32toa_sequential,branchlut,1,0.872385
i32toa_sequential,branchlut,2,0.959356
i32toa_sequential,branchlut,3,0.997286
i32toa_sequential,branchlut,4,1.014143
i32toa_sequential,branchlut,5,1.548992
i32toa_sequential,branchlut,6,1.588454
i32toa_sequential,branchlut,7,1.735959
i32toa_sequential,branchlut,8,1.820247
i32toa_sequential,branchlut,9,1.945531
i32toa_sequential,branchlut,10,1.983077
i32toa_random,branchlut,0,26.884182
i32toa_sequential,count,1,1.291912
i32toa_sequential,count,2,1.507231
i32toa_sequential,count,3,1.878483
i32toa_sequential,count,4,2.166213
i32toa_sequential,count,5,2.471950
i32toa_sequential,count,6,2.805656
i32toa_sequential,count,7,3.101048
i32toa_sequential,count,8,3.446248
i32toa_sequential,count,9,3.776505
i32toa_sequential,count,10,4.025539
i32toa_random,count,0,39.161177
i32toa_sequential,countlut,1,1.275437
i32toa_sequential,countlut,2,0.931770
i32toa_sequential,countlut,3,1.377350
i32toa_sequential,countlut,4,1.460106
i32toa_sequential,countlut,5,1.690366
i32toa_sequential,countlut,6,1.848982
i32toa_sequential,countlut,7,1.943998
i32toa_sequential,countlut,8,1.947063
i32toa_sequential,countlut,9,2.124835
i32toa_sequential,countlut,10,2.150122
i32toa_random,countlut,0,27.148924
i32toa_sequential,lut,1,0.824111
i32toa_sequential,lut,2,1.000351
i32toa_sequential,lut,3,1.252450
i32toa_sequential,lut,4,1.423325
i32toa_sequential,lut,5,1.915646
i32toa_sequential,lut,6,2.019474
i32toa_sequential,lut,7,2.273872
i32toa_sequential,lut,8,2.387662
i32toa_sequential,lut,9,2.643209
i32toa_sequential,lut,10,2.847034
i32toa_random,lut,0,37.927117
i32toa_sequential,naive,1,1.024105
i32toa_sequential,naive,2,1.357810
i32toa_sequential,naive,3,1.804539
i32toa_sequential,naive,4,2.215254
i32toa_sequential,naive,5,2.482295
i32toa_sequential,naive,6,2.835157
i32toa_sequential,naive,7,3.253917
i32toa_sequential,naive,8,3.442033
i32toa_sequential,naive,9,3.978031
i32toa_sequential,naive,10,4.515179
i32toa_random,naive,0,41.481408
i32toa_sequential,sprintf,1,13.340562
i32toa_sequential,sprintf,2,15.506775
i32toa_sequential,sprintf,3,18.103625
i32toa_sequential,sprintf,4,20.228077
i32toa_sequential,sprintf,5,22.924158
i32toa_sequential,sprintf,6,25.375419
i32toa_sequential,sprintf,7,28.455395
i32toa_sequential,sprintf,8,30.827732
i32toa_sequential,sprintf,9,33.457531
i32toa_sequential,sprintf,10,36.616432
i32toa_random,sprintf,0,267.118121
i32toa_sequential,sse2,1,0.819514
i32toa_sequential,sse2,2,0.910698
i32toa_sequential,sse2,3,0.977363
i32toa_sequential,sse2,4,0.927556
i32toa_sequential,sse2,5,1.531751
i32toa_sequential,sse2,6,1.660482
i32toa_sequential,sse2,7,1.754349
i32toa_sequential,sse2,8,1.782701
i32toa_sequential,sse2,9,1.356661
i32toa_sequential,sse2,10,1.391526
i32toa_random,sse2,0,25.975016
i32toa_sequential,vc,1,1.368921
i32toa_sequential,vc,2,1.642092
i32toa_sequential,vc,3,2.117556
i32toa_sequential,vc,4,2.751635
i32toa_sequential,vc,5,3.524406
i32toa_sequential,vc,6,5.005584
i32toa_sequential,vc,7,5.934673
i32toa_sequential,vc,8,7.081762
i32toa_sequential,vc,9,8.036520
i32toa_sequential,vc,10,8.840325
i32toa_random,vc,0,74.870359
u64toa_sequential,null,1,0.328342
u64toa_sequential,null,2,0.329491
u64toa_sequential,null,3,0.321445
u64toa_sequential,null,4,0.320679
u64toa_sequential,null,5,0.320679
u64toa_sequential,null,6,0.320679
u64toa_sequential,null,7,0.320679
u64toa_sequential,null,8,0.320679
u64toa_sequential,null,9,0.320679
u64toa_sequential,null,10,0.320679
u64toa_sequential,null,11,0.320679
u64toa_sequential,null,12,0.320679
u64toa_sequential,null,13,0.320679
u64toa_sequential,null,14,0.320679
u64toa_sequential,null,15,0.320679
u64toa_sequential,null,16,0.320679
u64toa_sequential,null,17,0.320679
u64toa_sequential,null,18,0.320679
u64toa_sequential,null,19,0.320679
u64toa_sequential,null,20,0.320679
u64toa_random,null,0,4.292197
u64toa_sequential,branchlut,1,0.681204
u64toa_sequential,branchlut,2,0.687717
u64toa_sequential,branchlut,3,0.700743
u64toa_sequential,branchlut,4,0.749018
u64toa_sequential,branchlut,5,1.214520
u64toa_sequential,branchlut,6,1.205708
u64toa_sequential,branchlut,7,1.280035
u64toa_sequential,branchlut,8,1.333290
u64toa_sequential,branchlut,9,3.579194
u64toa_sequential,branchlut,10,3.580726
u64toa_sequential,branchlut,11,3.794512
u64toa_sequential,branchlut,12,3.851982
u64toa_sequential,branchlut,13,3.933588
u64toa_sequential,branchlut,14,4.087606
u64toa_sequential,branchlut,15,4.129367
u64toa_sequential,branchlut,16,4.239326
u64toa_sequential,branchlut,17,9.026909
u64toa_sequential,branchlut,18,9.125373
u64toa_sequential,branchlut,19,9.213110
u64toa_sequential,branchlut,20,9.211194
u64toa_random,branchlut,0,113.273323
u64toa_sequential,count,1,1.996104
u64toa_sequential,count,2,2.839371
u64toa_sequential,count,3,3.835890
u64toa_sequential,count,4,4.851183
u64toa_sequential,count,5,5.954212
u64toa_sequential,count,6,7.343056
u64toa_sequential,count,7,8.097437
u64toa_sequential,count,8,9.267131
u64toa_sequential,count,9,10.422649
u64toa_sequential,count,10,11.661689
u64toa_sequential,count,11,13.046318
u64toa_sequential,count,12,14.437461
u64toa_sequential,count,13,15.644318
u64toa_sequential,count,14,17.096378
u64toa_sequential,count,15,18.578322
u64toa_sequential,count,16,20.604693
u64toa_sequential,count,17,23.256331
u64toa_sequential,count,18,25.557405
u64toa_sequential,count,19,26.804491
u64toa_sequential,count,20,28.515163
u64toa_random,count,0,334.007513
u64toa_sequential,countlut,1,1.172376
u64toa_sequential,countlut,2,0.975830
u64toa_sequential,countlut,3,1.116056
u64toa_sequential,countlut,4,1.094217
u64toa_sequential,countlut,5,1.299575
u64toa_sequential,countlut,6,1.286931
u64toa_sequential,countlut,7,1.802240
u64toa_sequential,countlut,8,1.707990
u64toa_sequential,countlut,9,3.343186
u64toa_sequential,countlut,10,3.358894
u64toa_sequential,countlut,11,3.853514
u64toa_sequential,countlut,12,3.809838
u64toa_sequential,countlut,13,3.920179
u64toa_sequential,countlut,14,3.944316
u64toa_sequential,countlut,15,4.311354
u64toa_sequential,countlut,16,4.314419
u64toa_sequential,countlut,17,6.287535
u64toa_sequential,countlut,18,6.421630
u64toa_sequential,countlut,19,6.653423
u64toa_sequential,countlut,20,6.645761
u64toa_random,countlut,0,98.987581
u64toa_sequential,lut,1,0.859359
u64toa_sequential,lut,2,1.010312
u64toa_sequential,lut,3,1.944764
u64toa_sequential,lut,4,2.253183
u64toa_sequential,lut,5,3.281119
u64toa_sequential,lut,6,3.499503
u64toa_sequential,lut,7,4.602915
u64toa_sequential,lut,8,4.671879
u64toa_sequential,lut,9,5.871073
u64toa_sequential,lut,10,6.153823
u64toa_sequential,lut,11,7.456845
u64toa_sequential,lut,12,7.659138
u64toa_sequential,lut,13,8.994726
u64toa_sequential,lut,14,9.271346
u64toa_sequential,lut,15,10.625708
u64toa_sequential,lut,16,10.878573
u64toa_sequential,lut,17,12.215311
u64toa_sequential,lut,18,12.502275
u64toa_sequential,lut,19,14.004142
u64toa_sequential,lut,20,14.525964
u64toa_random,lut,0,215.932048
u64toa_sequential,naive,1,1.630598
u64toa_sequential,naive,2,2.942816
u64toa_sequential,naive,3,4.158868
u64toa_sequential,naive,4,5.220903
u64toa_sequential,naive,5,6.461475
u64toa_sequential,naive,6,7.515081
u64toa_sequential,naive,7,8.720406
u64toa_sequential,naive,8,9.956381
u64toa_sequential,naive,9,11.360166
u64toa_sequential,naive,10,12.496145
u64toa_sequential,naive,11,14.057397
u64toa_sequential,naive,12,15.365783
u64toa_sequential,naive,13,16.964965
u64toa_sequential,naive,14,18.465299
u64toa_sequential,naive,15,20.533048
u64toa_sequential,naive,16,23.252116
u64toa_sequential,naive,17,25.486526
u64toa_sequential,naive,18,26.983796
u64toa_sequential,naive,19,28.754236
u64toa_sequential,naive,20,30.482532
u64toa_random,naive,0,361.008166
u64toa_sequential,sprintf,1,12.844026
u64toa_sequential,sprintf,2,15.192992
u64toa_sequential,sprintf,3,17.487936
u64toa_sequential,sprintf,4,19.965633
u64toa_sequential,sprintf,5,22.105410
u64toa_sequential,sprintf,6,24.486176
u64toa_sequential,sprintf,7,27.304475
u64toa_sequential,sprintf,8,29.602101
u64toa_sequential,sprintf,9,31.889766
u64toa_sequential,sprintf,10,34.410374
u64toa_sequential,sprintf,11,37.026763
u64toa_sequential,sprintf,12,39.375729
u64toa_sequential,sprintf,13,41.925071
u64toa_sequential,sprintf,14,44.234575
u64toa_sequential,sprintf,15,47.078160
u64toa_sequential,sprintf,16,49.507200
u64toa_sequential,sprintf,17,52.068419
u64toa_sequential,sprintf,18,54.488264
u64toa_sequential,sprintf,19,57.927232
u64toa_sequential,sprintf,20,60.363935
u64toa_random,sprintf,0,763.360963
u64toa_sequential,sse2,1,0.681204
u64toa_sequential,sse2,2,0.689250
u64toa_sequential,sse2,3,0.726796
u64toa_sequential,sse2,4,0.712620
u64toa_sequential,sse2,5,1.364323
u64toa_sequential,sse2,6,1.474665
u64toa_sequential,sse2,7,1.455891
u64toa_sequential,sse2,8,1.510679
u64toa_sequential,sse2,9,3.644326
u64toa_sequential,sse2,10,3.643176
u64toa_sequential,sse2,11,3.786850
u64toa_sequential,sse2,12,3.784168
u64toa_sequential,sse2,13,3.823630
u64toa_sequential,sse2,14,3.857729
u64toa_sequential,sse2,15,3.892594
u64toa_sequential,sse2,16,3.934355
u64toa_sequential,sse2,17,8.068703
u64toa_sequential,sse2,18,8.041884
u64toa_sequential,sse2,19,8.075982
u64toa_sequential,sse2,20,8.217357
u64toa_random,sse2,0,106.403048
u64toa_sequential,vc,1,2.830559
u64toa_sequential,vc,2,4.226682
u64toa_sequential,vc,3,5.738510
u64toa_sequential,vc,4,7.513548
u64toa_sequential,vc,5,8.862163
u64toa_sequential,vc,6,10.680112
u64toa_sequential,vc,7,11.807661
u64toa_sequential,vc,8,13.268150
u64toa_sequential,vc,9,14.860819
u64toa_sequential,vc,10,16.558465
u64toa_sequential,vc,11,18.185998
u64toa_sequential,vc,12,19.502047
u64toa_sequential,vc,13,21.255246
u64toa_sequential,vc,14,22.973198
u64toa_sequential,vc,15,24.192699
u64toa_sequential,vc,16,27.007166
u64toa_sequential,vc,17,28.528956
u64toa_sequential,vc,18,30.433875
u64toa_sequential,vc,19,31.787087
u64toa_sequential,vc,20,33.467109
u64toa_random,vc,0,394.198656
i64toa_sequential,null,1,0.649404
i64toa_sequential,null,2,0.652469
i64toa_sequential,null,3,0.642508
i64toa_sequential,null,4,0.641358
i64toa_sequential,null,5,0.641358
i64toa_sequential,null,6,0.641358
i64toa_sequential,null,7,0.641358
i64toa_sequential,null,8,0.641742
i64toa_sequential,null,9,0.641358
i64toa_sequential,null,10,0.641358
i64toa_sequential,null,11,0.748251
i64toa_sequential,null,12,0.748251
i64toa_sequential,null,13,0.748251
i64toa_sequential,null,14,0.748251
i64toa_sequential,null,15,0.748251
i64toa_sequential,null,16,0.748251
i64toa_sequential,null,17,0.748251
i64toa_sequential,null,18,0.748251
i64toa_sequential,null,19,0.748251
i64toa_sequential,null,20,0.748251
i64toa_random,null,0,5.001753
i64toa_sequential,branchlut,1,1.428306
i64toa_sequential,branchlut,2,1.431754
i64toa_sequential,branchlut,3,1.501867
i64toa_sequential,branchlut,4,1.560102
i64toa_sequential,branchlut,5,2.069281
i64toa_sequential,branchlut,6,2.073113
i64toa_sequential,branchlut,7,2.125601
i64toa_sequential,branchlut,8,2.175025
i64toa_sequential,branchlut,9,4.502152
i64toa_sequential,branchlut,10,4.412117
i64toa_sequential,branchlut,11,4.783369
i64toa_sequential,branchlut,12,5.027422
i64toa_sequential,branchlut,13,5.033553
i64toa_sequential,branchlut,14,5.037001
i64toa_sequential,branchlut,15,5.214390
i64toa_sequential,branchlut,16,5.257300
i64toa_sequential,branchlut,17,10.084346
i64toa_sequential,branchlut,18,10.000441
i64toa_sequential,branchlut,19,10.187408
i64toa_sequential,branchlut,20,10.375907
i64toa_random,branchlut,0,126.459866
i64toa_sequential,count,1,2.801058
i64toa_sequential,count,2,3.792980
i64toa_sequential,count,3,4.737777
i64toa_sequential,count,4,5.731231
i64toa_sequential,count,5,6.736945
i64toa_sequential,count,6,8.250306
i64toa_sequential,count,7,9.000090
i64toa_sequential,count,8,10.092775
i64toa_sequential,count,9,11.256722
i64toa_sequential,count,10,12.488865
i64toa_sequential,count,11,13.956634
i64toa_sequential,count,12,15.254292
i64toa_sequential,count,13,16.702138
i64toa_sequential,count,14,19.088650
i64toa_sequential,count,15,19.463351
i64toa_sequential,count,16,21.496235
i64toa_sequential,count,17,23.985426
i64toa_sequential,count,18,26.273474
i64toa_sequential,count,19,27.632050
i64toa_sequential,count,20,28.286435
i64toa_random,count,0,340.578947
i64toa_sequential,countlut,1,1.891892
i64toa_sequential,countlut,2,1.777720
i64toa_sequential,countlut,3,2.003383
i64toa_sequential,countlut,4,2.057021
i64toa_sequential,countlut,5,2.219468
i64toa_sequential,countlut,6,2.301074
i64toa_sequential,countlut,7,2.409500
i64toa_sequential,countlut,8,2.434787
i64toa_sequential,countlut,9,4.275340
i64toa_sequential,countlut,10,4.438553
i64toa_sequential,countlut,11,4.715938
i64toa_sequential,countlut,12,4.862294
i64toa_sequential,countlut,13,4.928958
i64toa_sequential,countlut,14,4.953095
i64toa_sequential,countlut,15,5.141212
i64toa_sequential,countlut,16,5.318601
i64toa_sequential,countlut,17,7.355699
i64toa_sequential,countlut,18,7.520062
i64toa_sequential,countlut,19,7.643046
i64toa_sequential,countlut,20,7.644962
i64toa_random,countlut,0,111.364572
i64toa_sequential,lut,1,1.575044
i64toa_sequential,lut,2,1.723699
i64toa_sequential,lut,3,2.878450
i64toa_sequential,lut,4,3.073846
i64toa_sequential,lut,5,4.164998
i64toa_sequential,lut,6,4.364226
i64toa_sequential,lut,7,5.348868
i64toa_sequential,lut,8,5.542348
i64toa_sequential,lut,9,6.568368
i64toa_sequential,lut,10,6.876788
i64toa_sequential,lut,11,8.346855
i64toa_sequential,lut,12,8.535354
i64toa_sequential,lut,13,9.869410
i64toa_sequential,lut,14,10.175531
i64toa_sequential,lut,15,11.459014
i64toa_sequential,lut,16,11.715327
i64toa_sequential,lut,17,13.621779
i64toa_sequential,lut,18,13.734035
i64toa_sequential,lut,19,14.803732
i64toa_sequential,lut,20,14.965796
i64toa_random,lut,0,227.896026
i64toa_sequential,naive,1,2.548193
i64toa_sequential,naive,2,3.727082
i64toa_sequential,naive,3,4.846585
i64toa_sequential,naive,4,5.897126
i64toa_sequential,naive,5,7.147277
i64toa_sequential,naive,6,8.469839
i64toa_sequential,naive,7,9.392414
i64toa_sequential,naive,8,10.701184
i64toa_sequential,naive,9,11.922600
i64toa_sequential,naive,10,13.199953
i64toa_sequential,naive,11,14.754692
i64toa_sequential,naive,12,16.250429
i64toa_sequential,naive,13,17.644253
i64toa_sequential,naive,14,19.169108
i64toa_sequential,naive,15,20.668292
i64toa_sequential,naive,16,22.842934
i64toa_sequential,naive,17,25.745522
i64toa_sequential,naive,18,27.570750
i64toa_sequential,naive,19,29.168782
i64toa_sequential,naive,20,30.003237
i64toa_random,naive,0,371.887889
i64toa_sequential,sprintf,1,14.270800
i64toa_sequential,sprintf,2,16.401382
i64toa_sequential,sprintf,3,18.899768
i64toa_sequential,sprintf,4,21.929554
i64toa_sequential,sprintf,5,24.031018
i64toa_sequential,sprintf,6,26.211407
i64toa_sequential,sprintf,7,30.097870
i64toa_sequential,sprintf,8,32.638018
i64toa_sequential,sprintf,9,35.124910
i64toa_sequential,sprintf,10,37.656628
i64toa_sequential,sprintf,11,39.445459
i64toa_sequential,sprintf,12,41.677187
i64toa_sequential,sprintf,13,44.271738
i64toa_sequential,sprintf,14,46.773189
i64toa_sequential,sprintf,15,49.390346
i64toa_sequential,sprintf,16,51.929726
i64toa_sequential,sprintf,17,55.160273
i64toa_sequential,sprintf,18,57.466711
i64toa_sequential,sprintf,19,60.003793
i64toa_sequential,sprintf,20,60.748979
i64toa_random,sprintf,0,791.248178
i64toa_sequential,sse2,1,1.620254
i64toa_sequential,sse2,2,1.609143
i64toa_sequential,sse2,3,1.598415
i64toa_sequential,sse2,4,1.643242
i64toa_sequential,sse2,5,2.299925
i64toa_sequential,sse2,6,2.482678
i64toa_sequential,sse2,7,2.672327
i64toa_sequential,sse2,8,2.810636
i64toa_sequential,sse2,9,4.508282
i64toa_sequential,sse2,10,4.510581
i64toa_sequential,sse2,11,4.796396
i64toa_sequential,sse2,12,4.781837
i64toa_sequential,sse2,13,4.833942
i64toa_sequential,sse2,14,4.878002
i64toa_sequential,sse2,15,4.896392
i64toa_sequential,sse2,16,5.602116
i64toa_sequential,sse2,17,9.006603
i64toa_sequential,sse2,18,8.988596
i64toa_sequential,sse2,19,9.044533
i64toa_sequential,sse2,20,9.334945
i64toa_random,sse2,0,126.749895
i64toa_sequential,vc,1,3.494139
i64toa_sequential,vc,2,4.904821
i64toa_sequential,vc,3,6.354582
i64toa_sequential,vc,4,8.120808
i64toa_sequential,vc,5,9.620759
i64toa_sequential,vc,6,11.414571
i64toa_sequential,vc,7,12.416071
i64toa_sequential,vc,8,13.973491
i64toa_sequential,vc,9,15.682631
i64toa_sequential,vc,10,17.248097
i64toa_sequential,vc,11,19.029648
i64toa_sequential,vc,12,20.856026
i64toa_sequential,vc,13,22.190848
i64toa_sequential,vc,14,24.103046
i64toa_sequential,vc,15,25.657019
i64toa_sequential,vc,16,27.774191
i64toa_sequential,vc,17,29.563788
i64toa_sequential,vc,18,31.022744
i64toa_sequential,vc,19,32.882454
i64toa_sequential,vc,20,33.076701
i64toa_random,vc,0,412.400362
